cusip,ric,Company Common Name,trbc_economic_sector,trbc_business_sector,trbc_industry_group,trbc_industry
001963107,ASVI.OQ^C08,ASV Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles
00202H108,APPX.OQ^I08,Fresenius Kabi USA Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
00206R102,T.N,AT&T Inc,Technology,Telecommunications Services,Telecommunications Services,Wireless Telecommunications Services
00207R101,ATMI.OQ^E14,Entegris Professional Solutions LLC,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
00208J108,ATPAQ.PK^L14,ATP Oil & Gas Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas
00211V106,AACG.OQ,ATA Creativity Global,Academic & Educational Services,Academic & Educational Services,Miscellaneous Educational Service Providers,Miscellaneous Educational Service Providers
002120202,ATYR.OQ,aTyr Pharma Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
002121101,ATEN.N,A10 Networks Inc,Technology,Software & IT Services,Software & IT Services,Software
00214Q104,ARKK.Z,ARK Innovation ETF,,,,
00214Q302,ARKG.Z,ARK Genomic Revolution ETF,,,,
00214Q401,ARKW.Z,ARK Next Generation Internet ETF,,,,
00214Q500,PRNT.Z,3D Printing ETF,,,,
00214Q708,ARKF.Z,Ark Fintech Innovation ETF,,,,
00215F107,ATNI.OQ,ATN International Inc,Technology,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services
00215W100,ASX.N,ASE Technology Holding Co Ltd,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing
00216W109,,,,,,
00216W117,ATIPW.PK^H25,ATI Physical Therapy Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
00217D100,ASTS.OQ,AST SpaceMobile Inc,Technology,Telecommunications Services,Telecommunications Services,Wireless Telecommunications Services
00217Y104,ATS.TO,ATS Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment
00218A105,ASPI.OQ,ASP Isotopes Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
002205102,AZ.OQ,A2Z Cust2Mate Solutions Corp,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
002255107,,,,,,
002346104,,,,,,
00234P102,AVHI.OQ^J18,AV Homes Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Homebuilding
002444107,AVX.N^C20,Kyocera AVX Components Corp,Technology,Technology Equipment,Electronic Equipment & Parts,Electronic Equipment & Parts
00246W103,AXTI.OQ,AXT Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
002474104,AZZ.N,AZZ Inc,Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel
